PKABCODE,index_right,prop_name,prop_id,primary_commodity,projects,dev_stage,activ_status,commodities_list,state_province,latitude,longitude,mo_yr_source_d
6205,257,SEM,41447,Coal,Projects,Operating,Active,Coal,Kalimantan Tengah,-1.38806,115.29722,2020-10-01
6205,263,Karin,41596,Coal,Projects,Exploration,Inactive,Coal,Kalimantan Tengah,-1.30944,114.79667,2014-01-01
6205,324,Suprabari,50523,Coal,Projects,Operating,Active,Coal,Kalimantan Tengah,-1.17853,114.65861,2011-12-01
6205,564,Bunda Kandung,79055,Coal,Projects,Operating,Active,Coal,Kalimantan Tengah,-1.14672,114.70276,2019-07-01
6205,291,Pagun Taka,50188,Coal,Projects,Exploration,Active,Coal,Kalimantan Tengah,-1.11248,114.7405,2014-04-01
6205,152,Muara Teweh,39092,Coal,Projects,Operating,Temporarily On Hold,Coal,Kalimantan Tengah,-0.95361,114.88778,2011-12-01
6205,233,TKS,40680,Coal,Projects,Operating,Active,Coal,Kalimantan Tengah,-0.94847,115.20734,2020-12-01
6205,423,Central Kalimantan (1),61060,Coal,Projects,Grassroots,Inactive,Coal,Kalimantan Tengah,-0.94058,114.59552,2015-12-01
6205,226,Bharinto,40548,Coal,Projects,Operating,Active,Coal,Kalimantan Tengah,-0.82788,115.39341,2021-12-01
6205,274,Barito,41889,Coal,Projects,Exploration,Active,Coal,Kalimantan Tengah,-0.674014,114.942999,2013-06-01
6205,9,Indomoro and Sungai Kencana,27031,Gold,Projects,Feasibility,Inactive,Gold,Kalimantan Tengah,-0.6254,114.40296,1988-11-01
